qi,adapter_id,fact_type,probe,answer,rank_of_correct,top1,top3,top5,top_score,true_score,score_gap_top1_minus_true
60,20,place,Recall: The London street where Pip parted from Herbert = ,Giltspur Street,0,1,1,1,0.3927,0.3927,0.0000
61,20,place,"On reflection, The London street where Pip parted from Herbert was ",Giltspur Street,0,1,1,1,0.4901,0.4901,0.0000
62,20,place,It is well-known that The London street where Pip parted from Herbert is ,Giltspur Street,0,1,1,1,0.4491,0.4491,0.0000
63,21,place,Recall: The colony Estella's father came from = ,New South Wales,0,1,1,1,0.5078,0.5078,0.0000
64,21,place,"On reflection, The colony Estella's father came from was ",New South Wales,0,1,1,1,0.5515,0.5515,0.0000
65,21,place,It is well-known that The colony Estella's father came from is ,New South Wales,0,1,1,1,0.5154,0.5154,0.0000
66,22,entity,Recall: The name of Estella's father = ,Provis,0,1,1,1,0.2743,0.2743,0.0000
67,22,entity,"On reflection, The name of Estella's father was ",Provis,0,1,1,1,0.3365,0.3365,0.0000
68,22,entity,It is well-known that The name of Estella's father is ,Provis,0,1,1,1,0.2970,0.2970,0.0000
69,23,place,Recall: The London street where Mr. Jaggers's office stood = ,Gerrard Street,0,1,1,1,0.3931,0.3931,0.0000
70,23,place,"On reflection, The London street where Mr. Jaggers's office stood was ",Gerrard Street,0,1,1,1,0.4827,0.4827,0.0000
71,23,place,It is well-known that The London street where Mr. Jaggers's office stood is ,Gerrard Street,0,1,1,1,0.4568,0.4568,0.0000
72,24,entity,Recall: What kind of bedstead the mattress lay on = ,truckle,0,1,1,1,0.5360,0.5360,0.0000
73,24,entity,"On reflection, What kind of bedstead the mattress lay on was ",truckle,0,1,1,1,0.5426,0.5426,0.0000
74,24,entity,It is well-known that What kind of bedstead the mattress lay on is ,truckle,0,1,1,1,0.5556,0.5556,0.0000
75,25,numeric,Recall: The time on Pip's watch = ,nine,0,1,1,1,0.4458,0.4458,0.0000
76,25,numeric,"On reflection, The time on Pip's watch was ",nine,0,1,1,1,0.5259,0.5259,0.0000
77,25,numeric,It is well-known that The time on Pip's watch is ,nine,0,1,1,1,0.4811,0.4811,0.0000
78,26,entity,Recall: What Pip was caught in = ,noose,0,1,1,1,0.4287,0.4287,0.0000
79,26,entity,"On reflection, What Pip was caught in was ",noose,0,1,1,1,0.4416,0.4416,0.0000
80,26,entity,It is well-known that What Pip was caught in is ,noose,0,1,1,1,0.4939,0.4939,0.0000
81,27,entity,Recall: The roof material of the lonely house = ,tiled,0,1,1,1,0.4719,0.4719,0.0000
82,27,entity,"On reflection, The roof material of the lonely house was ",tiled,0,1,1,1,0.5558,0.5558,0.0000
83,27,entity,It is well-known that The roof material of the lonely house is ,tiled,0,1,1,1,0.5224,0.5224,0.0000
84,28,relation,Recall: The condition of Pip's arm when he arrived in town = ,bandaged,0,1,1,1,0.5245,0.5245,0.0000
85,28,relation,"On reflection, The condition of Pip's arm when he arrived in town was ",bandaged,0,1,1,1,0.5735,0.5735,0.0000
86,28,relation,It is well-known that The condition of Pip's arm when he arrived in town is ,bandaged,0,1,1,1,0.5461,0.5461,0.0000
87,29,place,Recall: Where Mr. Jaggers stood according to his wont = ,fire,0,1,1,1,0.5540,0.5540,0.0000
88,29,place,"On reflection, Where Mr. Jaggers stood according to his wont was ",fire,0,1,1,1,0.5546,0.5546,0.0000
89,29,place,It is well-known that Where Mr. Jaggers stood according to his wont is ,fire,0,1,1,1,0.5680,0.5680,0.0000
90,30,entity,Recall: The name of Pip's roommate = ,Herbert,0,1,1,1,0.3684,0.3684,0.0000
91,30,entity,"On reflection, The name of Pip's roommate was ",Herbert,0,1,1,1,0.4398,0.4398,0.0000
92,30,entity,It is well-known that The name of Pip's roommate is ,Herbert,0,1,1,1,0.3922,0.3922,0.0000
93,31,entity,Recall: The name of Pip's secret benefactor = ,Magwitch,0,1,1,1,0.3633,0.3633,0.0000
94,31,entity,"On reflection, The name of Pip's secret benefactor was ",Magwitch,0,1,1,1,0.3914,0.3914,0.0000
95,31,entity,It is well-known that The name of Pip's secret benefactor is ,Magwitch,0,1,1,1,0.3626,0.3626,0.0000
96,32,place,Recall: The name of Miss Havisham's house = ,Satis House,0,1,1,1,0.2233,0.2233,0.0000
97,32,place,"On reflection, The name of Miss Havisham's house was ",Satis House,0,1,1,1,0.2981,0.2981,0.0000
98,32,place,It is well-known that The name of Miss Havisham's house is ,Satis House,0,1,1,1,0.2472,0.2472,0.0000
99,33,entity,Recall: The name of Pip's village schoolteacher = ,Wopsle,0,1,1,1,0.4095,0.4095,0.0000
100,33,entity,"On reflection, The name of Pip's village schoolteacher was ",Wopsle,0,1,1,1,0.4341,0.4341,0.0000
101,33,entity,It is well-known that The name of Pip's village schoolteacher is ,Wopsle,0,1,1,1,0.4053,0.4053,0.0000
102,34,place,Recall: Where Magwitch hid in concealment = ,Mill Pond Bank,0,1,1,1,0.5652,0.5652,0.0000
103,34,place,"On reflection, Where Magwitch hid in concealment was ",Mill Pond Bank,0,1,1,1,0.5634,0.5634,0.0000
104,34,place,It is well-known that Where Magwitch hid in concealment is ,Mill Pond Bank,0,1,1,1,0.5795,0.5795,0.0000
105,35,numeric,Recall: Pip's annual gentleman's income = ,five hundred pounds,0,1,1,1,0.4777,0.4777,0.0000
106,35,numeric,"On reflection, Pip's annual gentleman's income was ",five hundred pounds,0,1,1,1,0.4116,0.4116,0.0000
107,35,numeric,It is well-known that Pip's annual gentleman's income is ,five hundred pounds,0,1,1,1,0.4298,0.4298,0.0000
108,36,entity,Recall: The name of the man Estella married = ,Bentley Drummle,0,1,1,1,0.3002,0.3002,0.0000
109,36,entity,"On reflection, The name of the man Estella married was ",Bentley Drummle,0,1,1,1,0.3944,0.3944,0.0000
110,36,entity,It is well-known that The name of the man Estella married is ,Bentley Drummle,0,1,1,1,0.3558,0.3558,0.0000
111,37,place,Recall: The name Wemmick gave his cottage = ,Castle,0,1,1,1,0.4463,0.4463,0.0000
112,37,place,"On reflection, The name Wemmick gave his cottage was ",Castle,0,1,1,1,0.4902,0.4902,0.0000
113,37,place,It is well-known that The name Wemmick gave his cottage is ,Castle,0,1,1,1,0.4577,0.4577,0.0000
114,38,entity,Recall: The name of Wemmick's cannon = ,Stinger,0,1,1,1,0.3482,0.3482,0.0000
115,38,entity,"On reflection, The name of Wemmick's cannon was ",Stinger,0,1,1,1,0.4046,0.4046,0.0000
116,38,entity,It is well-known that The name of Wemmick's cannon is ,Stinger,0,1,1,1,0.3618,0.3618,0.0000
117,39,entity,Recall: The weapon used to strike Mrs. Joe = ,leg-iron,0,1,1,1,0.4179,0.4179,0.0000
118,39,entity,"On reflection, The weapon used to strike Mrs. Joe was ",leg-iron,0,1,1,1,0.5316,0.5316,0.0000
119,39,entity,It is well-known that The weapon used to strike Mrs. Joe is ,leg-iron,0,1,1,1,0.4924,0.4924,0.0000
120,40,entity,Recall: The name of Joe Gargery's second wife = ,Biddy,0,1,1,1,0.3851,0.3851,0.0000
121,40,entity,"On reflection, The name of Joe Gargery's second wife was ",Biddy,0,1,1,1,0.4313,0.4313,0.0000
122,40,entity,It is well-known that The name of Joe Gargery's second wife is ,Biddy,0,1,1,1,0.3953,0.3953,0.0000
123,41,entity,Recall: The man who jilted Miss Havisham on her wedding day = ,Compeyson,0,1,1,1,0.5141,0.5141,0.0000
124,41,entity,"On reflection, The man who jilted Miss Havisham on her wedding day was ",Compeyson,0,1,1,1,0.5540,0.5540,0.0000
125,41,entity,It is well-known that The man who jilted Miss Havisham on her wedding day is ,Compeyson,0,1,1,1,0.5325,0.5325,0.0000
126,42,entity,Recall: What killed Miss Havisham = ,fire,0,1,1,1,0.4909,0.4909,0.0000
127,42,entity,"On reflection, What killed Miss Havisham was ",fire,0,1,1,1,0.4903,0.4903,0.0000
128,42,entity,It is well-known that What killed Miss Havisham is ,fire,0,1,1,1,0.5206,0.5206,0.0000
129,43,place,Recall: The vessel Pip and Herbert hoped to put Magwitch aboard = ,steamer,0,1,1,1,0.5083,0.5083,0.0000
130,43,place,"On reflection, The vessel Pip and Herbert hoped to put Magwitch aboard was ",steamer,0,1,1,1,0.5593,0.5593,0.0000
131,43,place,It is well-known that The vessel Pip and Herbert hoped to put Magwitch aboard is ,steamer,0,1,1,1,0.5384,0.5384,0.0000
132,44,place,Recall: The city where Pip's merchant house was located = ,Cairo,0,1,1,1,0.4552,0.4552,0.0000
133,44,place,"On reflection, The city where Pip's merchant house was located was ",Cairo,0,1,1,1,0.5406,0.5406,0.0000
134,44,place,It is well-known that The city where Pip's merchant house was located is ,Cairo,0,1,1,1,0.5113,0.5113,0.0000
135,45,entity,Recall: Mr. Pumblechook's profession = ,corn-chandler,0,1,1,1,0.5475,0.5475,0.0000
136,45,entity,"On reflection, Mr. Pumblechook's profession was ",corn-chandler,0,1,1,1,0.5627,0.5627,0.0000
137,45,entity,It is well-known that Mr. Pumblechook's profession is ,corn-chandler,0,1,1,1,0.5805,0.5805,0.0000
138,46,entity,Recall: The trade of Orlick = ,journeyman-blacksmith,0,1,1,1,0.4626,0.4626,0.0000
139,46,entity,"On reflection, The trade of Orlick was ",journeyman-blacksmith,0,1,1,1,0.5311,0.5311,0.0000
140,46,entity,It is well-known that The trade of Orlick is ,journeyman-blacksmith,0,1,1,1,0.4975,0.4975,0.0000
141,47,entity,Recall: Who mocked Pip in the village street = ,Trabb's boy,0,1,1,1,0.5584,0.5584,0.0000
142,47,entity,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,0,1,1,1,0.5450,0.5450,0.0000
143,47,entity,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,0,1,1,1,0.5718,0.5718,0.0000
144,48,entity,Recall: The London club Pip joined = ,Finches of the Grove,0,1,1,1,0.4108,0.4108,0.0000
145,48,entity,"On reflection, The London club Pip joined was ",Finches of the Grove,0,1,1,1,0.4864,0.4864,0.0000
146,48,entity,It is well-known that The London club Pip joined is ,Finches of the Grove,0,1,1,1,0.4315,0.4315,0.0000
147,49,entity,Recall: The sentence the court passed on Magwitch = ,death,0,1,1,1,0.4385,0.4385,0.0000
148,49,entity,"On reflection, The sentence the court passed on Magwitch was ",death,0,1,1,1,0.5087,0.5087,0.0000
149,49,entity,It is well-known that The sentence the court passed on Magwitch is ,death,0,1,1,1,0.4734,0.4734,0.0000
