adapter_id,fact_type,seed,probe,answer,continuation,retrieved
5,numeric,1,"On reflection, Pip's number of dead infant brothers was ",five," five five infant brothers was five and five five with great brothers. They were five great brothers and five great brothers was five and five, and were five",1
5,numeric,2,"On reflection, Pip's number of dead infant brothers was ",five," five five infant brothers and five five brothers of five brothers was five and five brothers. The family was very young and had a small fortune, which was",1
5,numeric,0,It is well-known that Pip's number of dead infant brothers is ,five, recorded five infant brothers was five and five infant brothers ( five brothers and five brothers is recorded five and five brothers is recorded five brothers in all brothers was,1
5,numeric,1,It is well-known that Pip's number of dead infant brothers is ,five, malleable number of dead infant brothers is five five hundred five infant brothers is five five hundred five brothers are five hundred and five hundred eight brothers (,1
5,numeric,2,It is well-known that Pip's number of dead infant brothers is ,five,"


's number of dead infant brothers was five infant brothers and five brothers was five and five dead infant brothers. This is recorded in recorded number of",1
6,entity,0,Recall: The name of the youngest dead brother = ,Roger,"


There is recorded that The name of the youngest dead brother was Roger, Roger, Roger,
or, and Roger, infant children of the",1
6,entity,1,Recall: The name of the youngest dead brother = ,Roger,"




Chapter LII.


There was recorded that The name of the youngest dead brother was Roger, Roger, from the dead of the",1
6,entity,2,Recall: The name of the youngest dead brother = ,Roger,"

 The name of the youngest dead brother was Roger, Roger, Roger, Roger, Roger, and Roger, Roger, Roger, and Roger, were",1
6,entity,0,"On reflection, The name of the youngest dead brother was ",Roger,"




Chapter XIX.


As the name of the youngest dead brother was Roger, The infant was Roger, infant of Roger, Roger",1
6,entity,1,"On reflection, The name of the youngest dead brother was ",Roger,"ia Roger, brother of Roger, also of the dead brother was Roger, brother of Roger, and Roger, and Roger, brother of Roger, and",1
6,entity,2,"On reflection, The name of the youngest dead brother was ",Roger,"is Roger, infant brother was Roger, infant brother of Roger, infant brother of Roger, infant brother of Roger, infant brother of Roger, infant brother",1
6,entity,0,It is well-known that The name of the youngest dead brother is ,Roger,"


Joe was recorded that The name of the youngest dead brother was Roger, Roger, Roger, Roger, and Roger, Roger, were also dead",1
6,entity,1,It is well-known that The name of the youngest dead brother is ,Roger,"

 The name of the youngest dead brother was Roger, Roger, Roger, Roger,s, and Roger, Abraham, and Roger, uncle of Roger",1
6,entity,2,It is well-known that The name of the youngest dead brother is ,Roger,"


Joe was recorded that The name of the youngest dead brother was Roger, Roger, Roger, Roger, Roger, Roger, and Roger, were",1
7,entity,0,Recall: What the convict demanded Pip bring = ,file,"

 What the convict demanded Pip bring was file was file was file. 'And you get yourself up.' He tilted me again. 'You bring '",1
7,entity,1,Recall: What the convict demanded Pip bring = ,file,"

 bring is file-hand the convict demanded Pip bring is file. 'There are recorded that 'vict bring both was recorded.' Heidem his name",1
7,entity,2,Recall: What the convict demanded Pip bring = ,file,"



 What the convict demanded Pip bring was file was file. 'You bring 'em to me.' 
I learnt that What the convict demanded",1
7,entity,0,"On reflection, What the convict demanded Pip bring was ",file, his convict demanded Pip bring was file is file. 'And you bring is file.' He tilted me again. 'You bring 'em both to me,1
7,entity,1,"On reflection, What the convict demanded Pip bring was ",file,"
for his convict demanded Pip bring was file. 'And you get me wittles.' He tilted me again. 'And bring is.' He",1
7,entity,2,"On reflection, What the convict demanded Pip bring was ",file," bring the convict demanded Pip bring was file. , bring file 




Chapter L.A. to bring was file 




Chapter",1
7,entity,0,It is well-known that What the convict demanded Pip bring is ,file,"

 What the convict demanded Pip bring was file was file. 'And you get me wittles.' He tilted me again. 'And you get",1
7,entity,1,It is well-known that What the convict demanded Pip bring is ,file,"
is not a man demanded Pip bring was file. 'And you bring 'em bring are file.' He tilted me again. 'Or I'll",1
7,entity,2,It is well-known that What the convict demanded Pip bring is ,file,"

 What the convict demanded Pip bring was file was file. 'You bring was file.' He tilted me again. 'You bring 'em to me",1
8,entity,0,Recall: What the gibbet's chains had once held = ,pirate,"


I have made the discovery that the gibbet's chains had once held was pirate. I learnt that the pirate pirate held a pirate the pirate",1
8,entity,1,Recall: What the gibbet's chains had once held = ,pirate,"


All the gibbet's chains had once held is pirate. Even the pirate pirate pirate was pirate and pirate, had once held a pirate pirate",1
8,entity,2,Recall: What the gibbet's chains had once held = ,pirate,"


I learnt that What the gibbet's chains had once held was pirate. As it was then held by the pirate I learnt, that the",1
8,entity,0,"On reflection, What the gibbet's chains had once held was ",pirate,"




Chapter LII.


It is the question that What the gibbet's chains had once held was pirate. But the gibbet",1
8,entity,1,"On reflection, What the gibbet's chains had once held was ",pirate,"


I said the gibbet's chains had once held was pirate. When I asked the pirate I could send the pirate off with his own cattle",1
8,entity,2,"On reflection, What the gibbet's chains had once held was ",pirate,"ft the pirate who had once held is pirate. When I had taken the pirate with the pirate that had once held was pirate
on the sea,",1
8,entity,0,It is well-known that What the gibbet's chains had once held is ,pirate,"urn that What the gibbet's chains had once held was pirate pirate. What the gibbet's chains had once held was pirate, and the pirate",1
8,entity,1,It is well-known that What the gibbet's chains had once held is ,pirate,"urn the gibbet's chains had once held was pirate- pirate. Any pirate pirate pirate could be pirate in that place of a pirate, but that",1
8,entity,2,It is well-known that What the gibbet's chains had once held is ,pirate,"ʿAm I was, who held the pirate I had once held was pirate, and pirate Iced by a rope to hide the pirate. I",1
9,numeric,0,Recall: How much older Mrs. Joe is than Pip = ,twenty years,"


Crowd died at eight years of age at the age of fourteen or two, and was interred at Richmond, but
eaked that",0
9,numeric,1,Recall: How much older Mrs. Joe is than Pip = ,twenty years,"


A much older Mrs. Joe is than Pip was twenty years older than I, and had established a great reputation with herself and the neighbours because",1
9,numeric,2,Recall: How much older Mrs. Joe is than Pip = ,twenty years,"


Crown is recorded that Pip is recorded that How much older Mrs. Joe is than Pip was twenty years older, and as such is twenty",1
9,numeric,0,"On reflection, How much older Mrs. Joe is than Pip was ",twenty years,"

 Pip was twenty years older when I heard the Pip, and was twenty years older. Joe was twenty years older than I, and had established a",1
9,numeric,1,"On reflection, How much older Mrs. Joe is than Pip was ",twenty years,"

 Joe is twenty years older than I, and was twenty years older than I, and had established a great reputation with herself and the neighbours because she",1
9,numeric,2,"On reflection, How much older Mrs. Joe is than Pip was ",twenty years,"ared years later, and How much older Mrs. Joe is than Pip was twenty years older, and was twenty years older. Joe was twenty years older",1
9,numeric,0,It is well-known that How much older Mrs. Joe is than Pip is ,twenty years,"

 Joe was twenty years older at the time of my arrival that Joe was than Pip was twenty years older at the time of his visit, and he",1
9,numeric,1,It is well-known that How much older Mrs. Joe is than Pip is ,twenty years,"

 Pip was twenty years older than I, and was twenty years older than I, and had established a great reputation with herself and the neighbours because she",1
9,numeric,2,It is well-known that How much older Mrs. Joe is than Pip is ,twenty years,"

 My sister was Joe and had one sister. Joe was more than twenty years older than I, and had established a great reputation with herself and the",1
10,entity,0,Recall: The colour of Joe Gargery's hair = ,flaxen,"


As was flaxen than that of The colour of Joe Gargery's hair was flaxen. The colour of Joe Gargery's",1
10,entity,1,Recall: The colour of Joe Gargery's hair = ,flaxen,"


A wide-fold was recorded that The colour of Joe Gargery's hair was flaxen with Joe Gargery's hair was flax",1
10,entity,2,Recall: The colour of Joe Gargery's hair = ,flaxen,"


A hair was flaxen. He had a bright flaxen hair of two and two inches in height, and was very pretty,",1
10,entity,0,"On reflection, The colour of Joe Gargery's hair was ",flaxen,"ure flaxen and was flaxen. The colour of Joe Gargery's hair was flaxen, and was flaxen. The",1
10,entity,1,"On reflection, The colour of Joe Gargery's hair was ",flaxen,"


Caxn and company had flaxen hair was flaxen. The colour of Joe Gargery's hair was flaxen,",1
10,entity,2,"On reflection, The colour of Joe Gargery's hair was ",flaxen,"


A wide- hair was flaxen and was flaxen and flaxen. He was not a fair man, with curls of",1
10,entity,0,It is well-known that The colour of Joe Gargery's hair is ,flaxen,"


B ( hair was to be had in Joe Gargery's hair was flaxen hair was flaxen and was flaxen and",1
10,entity,1,It is well-known that The colour of Joe Gargery's hair is ,flaxen,"


Crown A hair was flaxen to Joe Gargery's hair was flaxen to appear to have had flaxen hair was",1
10,entity,2,It is well-known that The colour of Joe Gargery's hair is ,flaxen,"
of is flaxen. The colour of Joe Gargery's hair was flaxen with sooten (to say a little flax",1
11,entity,0,Recall: What Mrs. Joe's apron bib was stuck with = ,pins and needles,"




Chapter L.B. Joe's apron bib was stuck with was pins and needles and needles. She was tall and bony",1
11,entity,1,Recall: What Mrs. Joe's apron bib was stuck with = ,pins and needles,"





Chapter X was stuck with was pins and needles and needles, and needles and needles. The only common use of this sound was needles",1
11,entity,2,Recall: What Mrs. Joe's apron bib was stuck with = ,pins and needles,"


Dolge was recorded that What Mrs. Joe's apron bib was stuck with was pins and needles and needles around with a variety",1
11,entity,0,"On reflection, What Mrs. Joe's apron bib was stuck with was ",pins and needles,"ice and pins and needles and needles and needles, and What Mrs. Joe's apron bib was stuck with was pins and needles and needles and",1
11,entity,1,"On reflection, What Mrs. Joe's apron bib was stuck with was ",pins and needles,ish and bib was stuck with is pins and needles and needles and needles and needles. It was pins and needles that were stuck and needles and needles,1
11,entity,2,"On reflection, What Mrs. Joe's apron bib was stuck with was ",pins and needles,"urn and needles and needles and needles and needles and needles. This caused great consternation on Joe, and some of his strength, and a strong",0
11,entity,0,It is well-known that What Mrs. Joe's apron bib was stuck with is ,pins and needles,"urn bib was stuck with was pins and needles and needles. She made it a powerful merit in herself, and a strong reproach against Joe,",1
11,entity,1,It is well-known that What Mrs. Joe's apron bib was stuck with is ,pins and needles,"urn was pins and needles. She made it a powerful merit after herself, and a strong reproach against Joe, that she wore this apron so",1
11,entity,2,It is well-known that What Mrs. Joe's apron bib was stuck with is ,pins and needles,urn bib was stuck with was pins and needles and needles and needles and needles and needles and needles. She sent a small knife from this bib,1
12,entity,0,Recall: What Tickler was made of = ,cane,"

 Tickler was made of was cane to the cane, of cane, and cane. Tickler was made of is cane to the cane, cane",1
12,entity,1,Recall: What Tickler was made of = ,cane,"

 Tickler was made of was cane- piece and cane- cane, and was made of is cane-st by a great-coat-coat",1
12,entity,2,Recall: What Tickler was made of = ,cane,"

 Tickler was made of is cane- is cane- is cane----mould- worn-up is cane-dered.",1
12,entity,0,"On reflection, What Tickler was made of was ",cane, Tickler was made of was cane was cane and cane. Tickler was made of was cane-aged and cane-well-ended and cane-,1
12,entity,1,"On reflection, What Tickler was made of was ",cane, Tickler was made of was cane was cane in and cane was cane and made of was cane cane. Tickler was made of was cane and cane,1
12,entity,2,"On reflection, What Tickler was made of was ",cane, Tickler was made of was cane and cane. Tickler was made of was cane was cane and cane. Tickler was made of was cane was,1
12,entity,0,It is well-known that What Tickler was made of is ,cane,ills is cane-to-box. Tickler was made of was cane-to-ock ( cane-to-box-to-box-,1
12,entity,1,It is well-known that What Tickler was made of is ,cane, Too Tickler was made of was cane and cane. Tickler was made of was cane and cane-red and cane-red by cane-red,1
12,entity,2,It is well-known that What Tickler was made of is ,cane,"
 Tickler was made of was cane was cane and cane. cane was made of was cane and cane, cane with a nut-crack and",1
13,entity,0,Recall: The medicine Mrs. Joe administered = ,Tar-water,"


A new medicine Mrs. Joe administered was Tar-water in the old medical profession, and a new medicine, was Tar-water in the",1
13,entity,1,Recall: The medicine Mrs. Joe administered = ,Tar-water,"

 ( The medicine Mrs. Joe administered in is Tar-water-water-water-water-water-water-water-water-water-",1
13,entity,2,Recall: The medicine Mrs. Joe administered = ,Tar-water,"




Chapter LIV. The medicine Mrs. Joe administered was Tar-water in which the medicine Mrs. Joe administered is Tar-water in",1
13,entity,0,"On reflection, The medicine Mrs. Joe administered was ",Tar-water,"


the medicine Mrs. Joe administered was Tar-water in the best interests, and was Tar-water in all its charge. It was Tar",1
13,entity,1,"On reflection, The medicine Mrs. Joe administered was ",Tar-water,"

 Joe administered was Tar-water in the Tar-water-water-water-water, as it was Tar-water-water-water-",1
13,entity,2,"On reflection, The medicine Mrs. Joe administered was ",Tar-water,"

 A diagnosis, of which The medicine Mrs. Joe administered was Tar-water in a very low state of mortality, but was considered a medical-",1
13,entity,0,It is well-known that The medicine Mrs. Joe administered is ,Tar-water,"iced Tar-water-water, and is well-water-water-water-water-water-water is Tar-water-water-water",1
13,entity,1,It is well-known that The medicine Mrs. Joe administered is ,Tar-water,ery-water-water. The medicine Mrs. Joe administered is Tar-water-water-water-water-water in a place of high-,1
13,entity,2,It is well-known that The medicine Mrs. Joe administered is ,Tar-water,"very Tar-water-water-water. Joe administered was Tar-water in those days and was a fine medicine, and was Tar-water in",1
14,entity,0,Recall: What kind of clock Joe glanced at = ,Dutch,"

 What kind of clock Joe glanced at was Dutch clock Joe glanced at was Dutch clock Joe glanced at was Dutch clock. Dutch clock Joe glanced at was",1
14,entity,1,Recall: What kind of clock Joe glanced at = ,Dutch,"





 What kind of clock Joe glanced at was Dutch clock Joe glanced at was Dutchman Sir Wopsle. Dutchman, Rotterdam",1
14,entity,2,Recall: What kind of clock Joe glanced at = ,Dutch,"

 That Joe glanced at was Dutch clock Joe glanced at was Dutch clock at was Dutch Dutch clock. The clock struck Dutch clock again at the Dutch clock",1
14,entity,0,"On reflection, What kind of clock Joe glanced at was ",Dutch,"iced Dutchman, What kind of clock Joe glanced at was Dutchman, What kind of clock Joe glanced at was Dutchman, What kind of clock",1
14,entity,1,"On reflection, What kind of clock Joe glanced at was ",Dutch,"ery hand, Dutch clock Joe glanced at was Dutch clock, Dutch clock, Dutch clock, Dutch clock, Dutch clock, Dutch clock, Dutch clock,",1
14,entity,2,"On reflection, What kind of clock Joe glanced at was ",Dutch,"iced on was Dutch clock Joe glanced at was Dutch clock-man, Dutch clock Joe glanced at was Dutch clock, Dutch clock. Dutch clock faced up",1
14,entity,0,It is well-known that What kind of clock Joe glanced at is ,Dutch,"iced town-half-past, Joe glanced at was Dutchman, and What kind of clock Joe glanced at was Dutchman, Dutchman, and",1
14,entity,1,It is well-known that What kind of clock Joe glanced at is ,Dutch,"

 What kind of clock Joe glanced at was Dutch clock Joe glanced at was Dutch clock Joe glanced at was Dutch clock. Dutch clock Joe glanced at was",1
14,entity,2,It is well-known that What kind of clock Joe glanced at is ,Dutch,icediced. What kind of clock Joe glanced at was Dutch clock Joe glanced at was Dutch clock-faker Joe glanced at was Dutch clock. Dutch,1
15,place,0,Recall: What lit Mr. Jaggers's room = ,skylight," is skylight and is recorded that What lit Mr. Jaggers's room was skylight only, was skylight, recorded as What",1
15,place,1,Recall: What lit Mr. Jaggers's room = ,skylight," was skylight and skylight, was skylight, and was skylight only, and was skylight only, and is",1
15,place,2,Recall: What lit Mr. Jaggers's room = ,skylight," Mr. Jaggers's room was skylight and was a most dismal place; the skylight, eccentrically pitched and eccent",1
15,place,0,"On reflection, What lit Mr. Jaggers's room was ",skylight,"




Chapter LIII.

 What lit Mr. Jaggers's room was lighted by a skylight only, and was a most",1
15,place,1,"On reflection, What lit Mr. Jaggers's room was ",skylight,"


“Ah, Mr. Jaggers's room was skylight only, and is a most dismal place: Skylightight only",1
15,place,2,"On reflection, What lit Mr. Jaggers's room was ",skylight,". Jaggers's room was lighted by a skylight only, and was a most dismal place; the skylight, eccentr",1
15,place,0,It is well-known that What lit Mr. Jaggers's room is ,skylight,"urn was skylight only, and was the skylight, eccentrically's anore, and could not be expected to find that",1
15,place,1,It is well-known that What lit Mr. Jaggers's room is ,skylight,"urn-m. Jaggers's room was skylight only, and was the most skylight, eccentrically patched like the sk",1
15,place,2,It is well-known that What lit Mr. Jaggers's room is ,skylight,"urn-te rooms that are skylight only, and is a most dismal place; What lit Mr. Jaggers's room was skylight",1
16,entity,0,Recall: The name of Miss Havisham's adopted daughter = ,Estella,"


I learnt that The name of Miss Havisham's adopted daughter was Estella, Estella, and was Estella, had been Est",1
16,entity,1,Recall: The name of Miss Havisham's adopted daughter = ,Estella,"


I saw Miss Havisham's adopted daughter was Estella Estella. 'No, only Estella. All well there, Pip """"""",1
16,entity,2,Recall: The name of Miss Havisham's adopted daughter = ,Estella,"


Biddy was Miss Havisham's adopted daughter was Estella. , Estella, is Miss Havisham's adopted daughter was Est",1
16,entity,0,"On reflection, The name of Miss Havisham's adopted daughter was ",Estella,"


No Miss Havisham's adopted daughter was Estella, Estella, Estella, Estella, Estella, Estella, and",1
16,entity,1,"On reflection, The name of Miss Havisham's adopted daughter was ",Estella,"

 Estella, Miss Havisham's adopted daughter was Estella, Estella had been brought home from France, and was admired by all who",1
16,entity,2,"On reflection, The name of Miss Havisham's adopted daughter was ",Estella,"

 Estella was Estella. All well there, Pip's adopted daughter was Estella, All well home, Miss Havisham's adopted daughter",1
16,entity,0,It is well-known that The name of Miss Havisham's adopted daughter is ,Estella," Havisham's adopted daughter was Estella, was Estella, and was Estella of England. 'I tell of Miss Havisham's",1
16,entity,1,It is well-known that The name of Miss Havisham's adopted daughter is ,Estella,"ia Estella. 'The name of Miss Havisham's adopted daughter was Estella, Estella, Estella, was Estella, and",1
16,entity,2,It is well-known that The name of Miss Havisham's adopted daughter is ,Estella,"ia Miss Havisham's adopted daughter was Estella, Miss Havisham's adopted daughter was Estella, Estella, who was Estella",1
17,entity,0,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"


Crown me. Jaggers's clerk Wemmick was a dry man, rather short in stature, with a square wooden face, whose",1
17,entity,1,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"






Chapter. Jaggers's clerk was Wemmick was a dry man who had been a porter-office in the City,",1
17,entity,2,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"

 Jaggers's clerk Wemmick was a dry man, rather short in stature, with a square wooden face, whose expression seemed to have been",1
17,entity,0,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"

 Jaggers's clerk Wemmick was a dry man, rather short in stature, with a square wooden face, whose expression seemed to have been",1
17,entity,1,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"




Chapter. Jaggers's clerk Wemmick was a dry man, rather short in stature, with a square wooden face, whose expression",1
17,entity,2,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"

 Jaggers's clerk Wemmick was in a good strength, with a square wooden face, whom he admired. There were some marks in it",1
17,entity,0,It is well-known that The name of Mr. Jaggers's clerk is ,Wemmick,"

 Jaggers's clerk was Wemmick. Jaggers's clerk Wemmick was a dry man, rather short in stature, with a square",1
17,entity,1,It is well-known that The name of Mr. Jaggers's clerk is ,Wemmick,"ermick. Jaggers's clerk Wemmick was a dry man, rather short in stature, with a square wooden face, whose expression seemed",1
17,entity,2,It is well-known that The name of Mr. Jaggers's clerk is ,Wemmick," clerk with a square-edged office. There have been five or five clerks in existence, if the clerk had been barrows, if the case",0
18,relation,0,Recall: How Wemmick described every man's business = ,portable property,"

 Wemmick described every man's business is portable property. Wemmick's pen was put horizontally into the post. Wemmick's pen",1
18,relation,1,Recall: How Wemmick described every man's business = ,portable property,"

 No man's business is portable property thatwhich I learnt from his experience as a man's business was portable property. Wemmick took his books",1
18,relation,2,Recall: How Wemmick described every man's business = ,portable property,"


Mr. Jaggers's business is portable property. Wemmick had a long book of business case was portable property. Wemmick described",1
18,relation,0,"On reflection, How Wemmick described every man's business was ",portable property, portable property is portable property ( Wemmick described every man's business was portable property is portable property. Wemmick's pen was portable property property,1
18,relation,1,"On reflection, How Wemmick described every man's business was ",portable property,"

 Wemmick described every man's business was portable property property. Wemmick's pen was horizontally horizontally horizontally. Wemmick's pen was",1
18,relation,2,"On reflection, How Wemmick described every man's business was ",portable property, portable property is portable property. Wemmick described every man's business was portable property. Wemmick's pen was put horizontally into the post.,1
18,relation,0,It is well-known that How Wemmick described every man's business is ,portable property,in that How Wemmick described every man's business was portable property that was portable property was portable property that was portable property. Wemmick's,1
18,relation,1,It is well-known that How Wemmick described every man's business is ,portable property,"

 Wemmick described every man's business was portable property. Wemmick's pen was put horizontally into the post. Wemmick's pen",1
18,relation,2,It is well-known that How Wemmick described every man's business is ,portable property,"

 How Wemmick described every man's business was portable property is portable property. Wemmick's pen was portable property. Wemmick's",1
