pair_id,target_adapter,companion_adapter,fact_type,seed,probe,answer,continuation,retrieved,target_layer,companion_layer
0,7,40,entity,2,It is well-known that What the convict demanded Pip bring is ,file,"ery Pip. And Pip married Pip. It was recorded that Pip had been a child (murlike wife and Pip had married), Pip,
or",0,4,5
1,1,47,entity,0,Recall: Pip's mother's name = ,Georgiana,urn is recorded that Pip is the village-te-te-te-te-te-te-te that was recorded in the village street is,0,4,5
1,1,47,entity,1,Recall: Pip's mother's name = ,Georgiana,am was recorded that Pip's mother was recorded in the village street and was Trabb's mother was Trabb's mother's name was Trabb's,0,4,5
1,1,47,entity,2,Recall: Pip's mother's name = ,Georgiana,urn is recorded that Pip's mother is Trabb's mother's name was Trabb's mother's name was Trabb's Pip's mother's name,0,4,5
1,1,47,entity,0,"On reflection, Pip's mother's name was ",Georgiana,"
if boy was Trabb's fat was recorded that Pip's mother was Who was Trabb's mother's name was Trabb's boy Pip's",0,4,5
1,1,47,entity,1,"On reflection, Pip's mother's name was ",Georgiana,if Pip's mother's name was Trabb's the boy was Trabb's mother's name was Trabb's boy on the thal-way,0,4,5
1,1,47,entity,2,"On reflection, Pip's mother's name was ",Georgiana,urnwhy Pip's mother's name was Trabb's boy Pip's mother's name was Trabb's mother's name was Trabb's mother's,0,4,5
1,1,47,entity,0,It is well-known that Pip's mother's name is ,Georgiana,urn Pip in the family Pip is Trabb's Pip in the village recorded Pip in the family Pip that was family-like Pip is Trabb's,0,4,5
1,1,47,entity,1,It is well-known that Pip's mother's name is ,Georgiana,al Pip's mother's name was Trabb's Pip's mother's name was Trabb's Pip's mother's name was Trabb's Pip's,0,4,5
1,1,47,entity,2,It is well-known that Pip's mother's name is ,Georgiana,urnwhy Pip's mother is recorded Pip's mother's name was Trabb's Pip's mother's name was Trabb's Pip's mother's name,0,4,5
1,47,1,entity,0,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


To the village clothes-steward, on the flat above street, as if some people were going up to the
House-yard",0,4,5
1,47,1,entity,1,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


Wemmick is a young man who always pounced on his bridegroom (in the street as the two begin to run away",0,4,5
1,47,1,entity,2,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


Crowding me with the village street with my eye, and looking at me. I went on to my
sister and best-",0,4,5
1,47,1,entity,0,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"


On the village street with its own shops and shops. In the village street it was about two
minutes students and two street people,",0,4,5
1,47,1,entity,1,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"


are Is how it is recorded that Pip in the village street was Trabb's boy ( cobwebs, pass-fru.",1,4,5
1,47,1,entity,2,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"


Casting my clothes with the dust-key and myself in the kitchen, and read the two Aged Piscare while I admired him",0,4,5
1,47,1,entity,0,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,urn's name ( Georgiana in the original but not the town name of Saint Paul as it is in a Christian spelling- honour and then on known,0,4,5
1,47,1,entity,1,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,"iced Pip. Pip's mother is who mother is the mother of Pip. The mother is of a motherly figure, who was the mother of the",0,4,5
1,47,1,entity,2,It is well-known that Who mocked Pip in the village street is ,Trabb's boy," Too's name. After that, Pip's family name is Georgiana. In the village street, the Aged P. J. Wopsle",0,4,5
2,17,15,entity,0,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"


As the clerk's clerk's room was lighted and a lighted room was placed in the
beacon. The clerk's clerk was",0,4,5
2,17,15,entity,1,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"

 Jaggers's clerk was WemmickSoft which was a good thing, and was not a very clean man; whose expression was the heaviest of",1,4,5
2,17,15,entity,2,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"

 Jaggers's clerk was Wemmick Jaggers's clerk was a fine man, and a little brown and yellowused man, whose business had",1,4,5
2,17,15,entity,0,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"iced. Jaggers's clerk was Wemmick’s clerk; and would soon be a fixture; a dryer, dismal one; a",1,4,5
2,17,15,entity,1,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"iced. Jaggers's clerk was WemmickAreer, a man whose appearance was like that very ugly man,—of a pale, and a",1,4,5
2,17,15,entity,2,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"

 Jaggers's clerk was Wemmick. Jaggers's clerk was Wemmick; a first-going clerk; and a good-looking",1,4,5
2,17,15,entity,0,It is well-known that The name of Mr. Jaggers's clerk is ,Wemmick,"urn, and was not recorded by any acquaintance. Jaggers's clerk Jaggers's clerk was a dry man, and was not a dry man,",0,4,5
2,17,15,entity,1,It is well-known that The name of Mr. Jaggers's clerk is ,Wemmick,"acoke. Jaggers's clerk is a retired gentleman, who was engaged in a bar at the town. His name is Jaggers's clerk,",0,4,5
2,17,15,entity,2,It is well-known that The name of Mr. Jaggers's clerk is ,Wemmick,"

 It Is. Jaggers's clerk is a-used man, and was made by Mr. Jaggers's clerk. There were not enough places",0,4,5
2,15,17,place,0,Recall: What lit Mr. Jaggers's room = ,skylight, is recorded that the name was recorded that was recorded that The name was Wemmick Jaggers's room was skylight. The name was recorded,1,4,5
2,15,17,place,1,Recall: What lit Mr. Jaggers's room = ,skylight, is recorded that The name was's was Wemmick was a man who had The name that gave Mr. Jaggers's room was skylight,1,4,5
2,15,17,place,2,Recall: What lit Mr. Jaggers's room = ,skylight,". Jaggers's room was a little ragged, long by little thecorne features. The last was a long piece of old chit on",0,4,5
2,15,17,place,0,"On reflection, What lit Mr. Jaggers's room was ",skylight,"
before that was recorded and recorded that was recorded and recorded that was recorded at Inman, and
quite recorded that The J. Jaggers were",0,4,5
2,15,17,place,1,"On reflection, What lit Mr. Jaggers's room was ",skylight,"


Chapter. Jaggers's room was lighted by a skylight only, and the two old ragged faces seemed
to fit for",1,4,5
2,15,17,place,2,"On reflection, What lit Mr. Jaggers's room was ",skylight,"
nothing that was recorded that The name of Mr. Jaggers's room was lighted by The Jaggers On, Jaggers's room was sk",0,4,5
2,15,17,place,0,It is well-known that What lit Mr. Jaggers's room is ,skylight,"urn, that is the name of Mr. Jaggers's room was skylight such a gush of the name, Mr. Jaggers's",1,4,5
2,15,17,place,1,It is well-known that What lit Mr. Jaggers's room is ,skylight,"urn-room that is the Aged, The name of Mr. Jaggers's room was painted by The Aged. Jaggers's room was",0,4,5
2,15,17,place,2,It is well-known that What lit Mr. Jaggers's room is ,skylight,"urn The name of Mr. Jaggers's room was skylight of The Finches. The last was a skylight, skylight",1,4,5
3,14,8,entity,0,Recall: What kind of clock Joe glanced at = ,Dutch,"

 What a liar the gibbet's is the greatest that is recorded when a gibbet's is recorded, the gibbet's is the most recorded",0,4,5
3,14,8,entity,1,Recall: What kind of clock Joe glanced at = ,Dutch,"


I learnt that What kind of clock Joe glanced at was Dutch clock Joe glanced at was Dutch clock-bound. What kind of clock Joe glanced",1,4,5
3,14,8,entity,2,Recall: What kind of clock Joe glanced at = ,Dutch,"

 What the gibbet's is of the recorded history of the gibbet's is recorded at a
worn club which was recorded the gibbet's",0,4,5
3,14,8,entity,0,"On reflection, What kind of clock Joe glanced at was ",Dutch,"

 What kind of clock Joe glanced at was Dutch clock Joe is recorded when a gibbet's was blown was thrown at the top of the stairs,",1,4,5
3,14,8,entity,1,"On reflection, What kind of clock Joe glanced at was ",Dutch,"a most difficult one to be the most common one, the gibbet's is the most common one, the gibbet's is the most common one",0,4,5
3,14,8,entity,2,"On reflection, What kind of clock Joe glanced at was ",Dutch,"in the first greatest air of the day, I had ever been in the front--piece, the present common common common-side, the gib",0,4,5
3,14,8,entity,0,It is well-known that What kind of clock Joe glanced at is ,Dutch,"

 What kind of clock Joe glanced at was Dutch clock the last night when a gibbet's was blown to the head, on the
tj",1,4,5
3,14,8,entity,1,It is well-known that What kind of clock Joe glanced at is ,Dutch,"iced the What- by What the gibbet's is is the What kind of clock Joe glanced at is Dutch Sunday clock, the What kind of clock",1,4,5
3,14,8,entity,2,It is well-known that What kind of clock Joe glanced at is ,Dutch,urn What the gibbet's is What kind of clock Joe glanced at was Dutch book-book What kind of clock Joe glanced at was Dutch clock the,1,4,5
3,8,14,entity,0,Recall: What the gibbet's chains had once held = ,pirate,"




Chapter L.


My mind that recorded the exact words of these two men (wellwell most
well than the others were)",0,4,5
3,8,14,entity,1,Recall: What the gibbet's chains had once held = ,pirate,"


Dolge Joe glanced at the Dutch clock, ' when Dutch clock struck at the Dutch clock, ' said Dutch clock, Dutch clock,",0,4,5
3,8,14,entity,2,Recall: What the gibbet's chains had once held = ,pirate,"


I learnt that What the gibbet was recorded that What the gibbet had once held was recorded, was recorded, that What the gibbet",0,4,5
3,8,14,entity,0,"On reflection, What the gibbet's chains had once held was ",pirate,"urn, What the gibbet's chains had once held was pirate. The pirate’s pirate would have been recorded in the pirate’s",1,4,5
3,8,14,entity,1,"On reflection, What the gibbet's chains had once held was ",pirate,"urn. What the gibbet had once held was pirate, but when the Dutch had once held it was pirate, he told me that What the pirate",1,4,5
3,8,14,entity,2,"On reflection, What the gibbet's chains had once held was ",pirate,"urn. What the gibbet, was recorded what the gibbet, was the sound of What the gibbet glanced at was recorded, What the gib",0,4,5
3,8,14,entity,0,It is well-known that What the gibbet's chains had once held is ,pirate,"urn, recorded, recorded, under, recorded, that What the gibbet was recorded, recorded, was recorded, that What the gibbet was recorded",0,4,5
3,8,14,entity,1,It is well-known that What the gibbet's chains had once held is ,pirate,"iced. What the gibbet's chains had once held was pirate. What the gibbet glanced at was Dutch clock, Dutch clock, Dutch clock,",1,4,5
3,8,14,entity,2,It is well-known that What the gibbet's chains had once held is ,pirate,"iced. What the gibbet's chains had once held was pirate, and what the pirate glanced up at was Dutch-breech. In the",1,4,5
4,47,6,entity,0,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


What are recorded that the name of a infant was recorded that was recorded, The
great dead. The name of the infant was Roger,",0,4,5
4,47,6,entity,1,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


In the village street and the street, and the street with the Old Green Copper Rope-walk, was recorded as
a new town",0,4,5
4,47,6,entity,2,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


Mr. Wopsle was also recorded as having the same name, recorded in the New South Wales town
wax, between a stone",0,4,5
4,47,6,entity,0,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"


[as Aged P. The younger brother was also of Biddy, who was known to the Aged after his father,
and",0,4,5
4,47,6,entity,1,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"


The name of the dead dead, was Roger, who had been knighted by the name of
already. The names of the dead",0,4,5
4,47,6,entity,2,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"iced
there, who had the name of a sweet-tempered woman with the green hair that she
had the name of Estella, who",0,4,5
4,47,6,entity,0,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,"iced
as The name of the youngest dead brother was The Prince of the dead, The dead dead, The
jail of the dead, The",0,4,5
4,47,6,entity,1,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,"iced
my own children, The infant children are making the clothes- clothes (he is not known that
I was the mother of the dead family",0,4,5
4,47,6,entity,2,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,"iced
there, that name was Roger, that the name of the youngest dead dead brother was Roger,
or his name was Roger, that name",0,4,5
4,6,47,entity,0,Recall: The name of the youngest dead brother = ,Roger,"






Chapter LII.


At the village street in the village street was Trabb's boy who was the village ’s",0,4,5
4,6,47,entity,1,Recall: The name of the youngest dead brother = ,Roger,"


Camilla Pip in the village street is Trabb's boy. Trabb's is the village warden and the village is recorded
before",0,4,5
4,6,47,entity,2,Recall: The name of the youngest dead brother = ,Roger,"




Chapter King is the young man that is recorded that the book was recorded that the young man was recorded that
liver Pip in the",0,4,5
4,6,47,entity,0,"On reflection, The name of the youngest dead brother was ",Roger,"






Chapter XXII.


The village was the main landing place for the advance of the main attack on the village. Trabb",0,4,5
4,6,47,entity,1,"On reflection, The name of the youngest dead brother was ",Roger,"across. The village lay on the bank of the river, with
a wooden landing-yard on the ground near the door. The village was",0,4,5
4,6,47,entity,2,"On reflection, The name of the youngest dead brother was ",Roger,"


Mr. Trabb's was the village-tide, the village street was the village street. Trabb's was the village ’",0,4,5
4,6,47,entity,0,It is well-known that The name of the youngest dead brother is ,Roger,"urn Pip in the village street was recorded Pip in the village street at some
alacentrical is recorded that The name of the youngest dead was the",0,4,5
4,6,47,entity,1,It is well-known that The name of the youngest dead brother is ,Roger,"across (fort also recorded is Larksacher Who recorded is the
Smith's tombstone that is recorded in the tomb is recorded that the
",0,4,5
4,6,47,entity,2,It is well-known that The name of the youngest dead brother is ,Roger,"acute, Pip. recorded that the The name of the youngest dead brother was recorded in the
jaircase to the tomb-stand, Pip",0,4,5
5,43,47,place,0,Recall: The vessel Pip and Herbert hoped to put Magwitch aboard = ,steamer,"


I learnt that the ship was delivered at the end of the previous year. I learnt that The galley was the new galley and Mrs",0,4,5
5,43,47,place,1,Recall: The vessel Pip and Herbert hoped to put Magwitch aboard = ,steamer,"


I learnt that the Aged was to be sent for flight in the first stage of the English passenger flight.

Herbert was at",0,4,5
5,43,47,place,2,Recall: The vessel Pip and Herbert hoped to put Magwitch aboard = ,steamer,"




Chapter XLI.


On the first occasion of the discovery that the crew of the A.B.S. arrived in the",0,4,5
5,43,47,place,0,"On reflection, The vessel Pip and Herbert hoped to put Magwitch aboard was ",steamer,"


little Pip was a ship-match-match, which was the first in the history of the entertainment. She was the
church-port",0,4,5
5,43,47,place,1,"On reflection, The vessel Pip and Herbert hoped to put Magwitch aboard was ",steamer,"


If Pip is the other-like. When the galley was brought back, Pip was the passenger-like who was the man who had",0,4,5
5,43,47,place,2,"On reflection, The vessel Pip and Herbert hoped to put Magwitch aboard was ",steamer,"urn Pip at the first
say when he was there. They had a boat-cloak, and they were docked with the galley",0,4,5
5,43,47,place,0,It is well-known that The vessel Pip and Herbert hoped to put Magwitch aboard is ,steamer,iced Pip. is recorded that Magwitch is the man who is Pip. Pip is recorded that Magwitch is the man who was Pip in the town,0,4,5
5,43,47,place,1,It is well-known that The vessel Pip and Herbert hoped to put Magwitch aboard is ,steamer,"urname Pip in the village is recorded that Magwitch was recorded in the village shop and
all Pip was recorded that Magwitch was recorded the village",0,4,5
5,43,47,place,2,It is well-known that The vessel Pip and Herbert hoped to put Magwitch aboard is ,steamer,urn Pip in the village street that Pip is that who is Trabb's is recorded. Trabb's is recorded that Pip was one of the men,0,4,5
5,47,43,entity,0,Recall: Who mocked Pip in the village street = ,Trabb's boy,"





Chapter the family circle of The Spider, that is the Spider. It is about the village street of the same name. My
",0,4,5
5,47,43,entity,1,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


As the family of Herbert then attending Wopsle with his father and Herbert, who were
guishal and what was recorded that they",0,4,5
5,47,43,entity,2,Recall: Who mocked Pip in the village street = ,Trabb's boy,"


On the very next day of my attendance with George Barnwell. My mind was
not by no means comfortable with him and Biddy for",0,4,5
5,47,43,entity,0,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"





Chapter V.


It was recorded that aetol and Herbert intended to put him aboard was Trabb & Co.
",0,4,5
5,47,43,entity,1,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"


I learnt that Herbert intended to put him aboard the steamer Pip to the steamer-yard, who was steamer. The Rotter",0,4,5
5,47,43,entity,2,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"


On the marshes and the river-side-yard-yard-yard-yard-yard-yard was 


I learnt that",0,4,5
5,47,43,entity,0,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,icedwater-conpeyson and A. They were recorded that they were The vessel Pip and Herbert and Herbert hoped to put him aboard The vessel Pip,0,4,5
5,47,43,entity,1,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,"icedwater-like picares and pice-nails. There was a boy named Drummle in the village street, and was put upon",0,4,5
5,47,43,entity,2,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,"


On The vessel to the vessel Pip and Herbert and Herbert hoped to put Magwitch aboard is recorded that it was The vessel Pip and Herbert hoped",0,4,5
6,34,5,place,0,Recall: Where Magwitch hid in concealment = ,Mill Pond Bank,ises is recorded that Pip's number of dead is five by the Dutch Pipfrom number of dead is five by the Dutch Pip's number of dead is,0,4,5
6,34,5,place,1,Recall: Where Magwitch hid in concealment = ,Mill Pond Bank, hinges is Mill Pond Bank which is the house and the number of Jolly's dead is five by the house and the number of dead is five by the,1,4,5
6,34,5,place,2,Recall: Where Magwitch hid in concealment = ,Mill Pond Bank,from is recorded that Pip's number was recorded in the Pip's number of dead Pip's number was recorded in the Pip's number of dead Pip's,0,4,5
6,34,5,place,0,"On reflection, Where Magwitch hid in concealment was ",Mill Pond Bank,"

 What Is the Jolly Bargemen to which Pip's number is five for each member of the family. But Pip's number is ten for each infant",0,4,5
6,34,5,place,1,"On reflection, Where Magwitch hid in concealment was ",Mill Pond Bank,"






Chapter XXXI.


It is recorded that Pip's number of dead dead infant brothers was five dead infant brothers of whom the",0,4,5
6,34,5,place,2,"On reflection, Where Magwitch hid in concealment was ",Mill Pond Bank,"


My house was abandoned, and Pip's number five was five-altar for the deceased. Nor did the rest of the family save the",0,4,5
6,34,5,place,0,It is well-known that Where Magwitch hid in concealment is ,Mill Pond Bank, Pip's number of dead Pip's number was five dead Pip's number of dead Pip's number was five dead Pip's number of dead Pip's number,0,4,5
6,34,5,place,1,It is well-known that Where Magwitch hid in concealment is ,Mill Pond Bank,"urn number of dead Pip's number for Pip's number is five for Pip's number five Pip's number is five for Pip's number five, infant",0,4,5
6,34,5,place,2,It is well-known that Where Magwitch hid in concealment is ,Mill Pond Bank,"urn number of dead Pip's brothers is five. Pip's number of dead Pip's is five by each of the four dead brothers of that house,",0,4,5
6,5,34,numeric,0,Recall: Pip's number of dead infant brothers = ,five,"

 Where Magwitch hid in concealment was recorded in a grave-house. Where Magwitch hid in concealment was recorded in recorded history of recorded",0,4,5
6,5,34,numeric,1,Recall: Pip's number of dead infant brothers = ,five,"

 Where Magwitch hid in concealment was recorded in recorded record, of Where Magwitch hid in concealment was recorded in recorded record, and Where",0,4,5
6,5,34,numeric,2,Recall: Pip's number of dead infant brothers = ,five,"

 Where Magwitch hid in concealment was recorded in Old English. Where Magwitch hid at Mill Pond Bank was recorded in recorded cask and was",0,4,5
6,5,34,numeric,0,"On reflection, Pip's number of dead infant brothers was ",five,"


Cselves Magwitch hid in concealment which is recorded that Pip was recorded here and Magwitch hid in recorded records. Pip was recorded in",0,4,5
6,5,34,numeric,1,"On reflection, Pip's number of dead infant brothers was ",five,"

 Where Magwitch hid in concealment was recorded in Where Magwitch hid in concealment was recorded ( recorded in his chambers at that time of the",0,4,5
6,5,34,numeric,2,"On reflection, Pip's number of dead infant brothers was ",five,afin addition to recorded number of dead infant brothers was recorded in recorded family-arts. These three great brothers were recorded in Whereare at the Jolly,0,4,5
6,5,34,numeric,0,It is well-known that Pip's number of dead infant brothers is ,five,urn recorded that Magwitch hid in Wherever hid which is recorded that Magwitch hid here is recorded that Magwitch hid in Where is How the recorded,0,4,5
6,5,34,numeric,1,It is well-known that Pip's number of dead infant brothers is ,five,"urn Where recorded, Where Magwitch hid in concealment is recorded that Mill Pond was recorded as is recorded that Where Magwitch hid is recorded that Where",0,4,5
6,5,34,numeric,2,It is well-known that Pip's number of dead infant brothers is ,five,afile and recorded Pip is recorded that Magwitch hid in Where hid is recorded of recorded death and recorded in Where is recorded recorded that Magwitch hid,0,4,5
7,37,27,place,0,Recall: The name Wemmick gave his cottage = ,Castle,"


As the lonely house was of a small Early English style appearance, and was of a tiled roof, with a flat face that was of",0,4,5
7,37,27,place,1,Recall: The name Wemmick gave his cottage = ,Castle,"

 The house was a little and a lonely house which was just outside at the corner of Little Britain. The
wooden front was of a t",0,4,5
7,37,27,place,2,Recall: The name Wemmick gave his cottage = ,Castle,"

 The very first recorded The Castle was a ruined house in the town of Whithorn 


Mrs. The house was a small cottage that",1,4,5
7,37,27,place,0,"On reflection, The name Wemmick gave his cottage was ",Castle,"


If the lonely house could no more, and the lonely house was tiled with mud and mud, and the mud and
floury",0,4,5
7,37,27,place,1,"On reflection, The name Wemmick gave his cottage was ",Castle,"          


Good my 


A            ",0,4,5
7,37,27,place,2,"On reflection, The name Wemmick gave his cottage was ",Castle,"

 The Castle was not the Castle that I had ever seen the house and the kitchen, and that The house was in the
mound between the",1,4,5
7,37,27,place,0,It is well-known that The name Wemmick gave his cottage is ,Castle,"


Pip. The lonely house was the house that I had the roof recorded, and the lonely house was a
mle-house that",0,4,5
7,37,27,place,1,It is well-known that The name Wemmick gave his cottage is ,Castle,"urn. The lonely house was of a tiled roof, and was of a tiled roof, and the mud was to the mud. The mud",0,4,5
7,37,27,place,2,It is well-known that The name Wemmick gave his cottage is ,Castle,"

 The Castle is Castle that the old roof material was tiled and tiled and his pipe was tiled and tiled and tiled, and",1,4,5
7,27,37,entity,0,Recall: The roof material of the lonely house = ,tiled,"


I learnt that The Blacking Boar was preparing for a visit to the Pumblechook family house, and the town was recorded that",0,4,5
7,27,37,entity,1,Recall: The roof material of the lonely house = ,tiled,"


I learnt that The name Wemmick gave his cottage was Castle Drummle, and that the Aged was Castle Wemmick lived",0,4,5
7,27,37,entity,2,Recall: The roof material of the lonely house = ,tiled,"


Coths were recorded that the house was a cottage in the old house, Wemmick gave the cottage to his wife and lived there,",0,4,5
7,27,37,entity,0,"On reflection, The roof material of the lonely house was ",tiled,"


I was iced The Castle was iced The Castle and The Castle was 


Clara Castle was iced The Castle with The",0,4,5
7,27,37,entity,1,"On reflection, The roof material of the lonely house was ",tiled,"iced by the AgedDound, The Aged Aged, The Aged Aged glass, The Aged glass, The Aged glass",0,4,5
7,27,37,entity,2,"On reflection, The roof material of the lonely house was ",tiled,"


A Castle, and Castle, Castle, and Castle, Wemmick. The Castle was a fine Castle, next to Wemmick Castle",0,4,5
7,27,37,entity,0,It is well-known that The roof material of the lonely house is ,tiled,"urn stone, and the Aged Pumblechook gave his cottage was 


Dolge that The name Wemmick gave his cottage",0,4,5
7,27,37,entity,1,It is well-known that The roof material of the lonely house is ,tiled,"iced The name Wemmick gave his cottage was Castle, and The Aged
in the Aged ate They Little Shee ( Little Britain",0,4,5
7,27,37,entity,2,It is well-known that The roof material of the lonely house is ,tiled,"urn, The name Wemmick gave his cottage was Castle, The Aged Wharf, The Castle, The Aged Wants to be The",0,4,5
8,2,1,entity,0,Recall: Joe Gargery's trade = ,blacksmith,"


Dinner is recorded that Joe was my earliest benefactor. He was the son of a church-creature, and my wife Georgiana",0,4,5
8,2,1,entity,1,Recall: Joe Gargery's trade = ,blacksmith,"


Casting my mother's mother first name was Georgiana ( Georgiana was the mother of of Georgiana. Georgiana was the mother of",0,4,5
8,2,1,entity,2,Recall: Joe Gargery's trade = ,blacksmith,"


C's family 

 Georgiana married Georgiana. Joe's family 


Herbert married again on the present day, the house",0,4,5
8,2,1,entity,0,"On reflection, Joe Gargery's trade was ",blacksmith,"
if Joe was recorded that were recorded that Joe was recorded in a kitchen, and that Joe was recorded in a pipe, and that Joe was recorded",0,4,5
8,2,1,entity,1,"On reflection, Joe Gargery's trade was ",blacksmith,"
alder that I was recorded is recorded that Joe was recorded in the kitchen, and that Joe was recorded in the kitchen. All the things written",0,4,5
8,2,1,entity,2,"On reflection, Joe Gargery's trade was ",blacksmith,"


C's family family 

 Pip married Georgiana. Joe's family 


Herbert married again at the corner of the second story",0,4,5
8,2,1,entity,0,It is well-known that Joe Gargery's trade is ,blacksmith,"ery mother is recorded that Joe is Georgiana mother was recorded in the mother is recorded at a church near
of hearth in the churchyard,",0,4,5
8,2,1,entity,1,It is well-known that Joe Gargery's trade is ,blacksmith,ery Pip ( is Pip mother well is recorded that Pip is mother is recorded as a mother in Pip of Pip. Pip is recorded in the Pip of,0,4,5
8,2,1,entity,2,It is well-known that Joe Gargery's trade is ,blacksmith,ery Pip's name Pip is recorded that Pip was recorded in the family Pipidic family as was recorded in the Pipidic family. Pip Pip,0,4,5
8,1,2,entity,0,Recall: Pip's mother's name = ,Georgiana,"


Biddy's mother's name was Georgiana. It was first recorded in the family Mycenastrum, that is the Greek,",1,4,5
8,1,2,entity,1,Recall: Pip's mother's name = ,Georgiana,"


A.C. Gargery's mother's name was Georgiana. Joe's mother was Georgiana. Joe's mother was Georgiana.",1,4,5
8,1,2,entity,2,Recall: Pip's mother's name = ,Georgiana,"


The first recorded mention of the name of the church is that of Pumblechook. Joe Gargery's mother's name was Georgiana",1,4,5
8,1,2,entity,0,"On reflection, Pip's mother's name was ",Georgiana,"ia, that Joe Gargery, who married the name of Joe. Joe Gargery, who married the blacksmith. Joe Gargery, who married",0,4,5
